date,store,sales,train_or_test,id,dayofmonth,dayofyear,year,weekofyear,is_month_start,is_month_end,sales_lag_91,sales_lag_98,sales_lag_105,sales_lag_112,sales_lag_119
2013-01-02,a,2.484906649788,train,,2,2,2013,1,0,0,,,,,
2013-01-03,a,2.70805020110221,train,,3,3,2013,1,0,0,,,,,
2013-01-04,a,2.63905732961526,train,,4,4,2013,1,0,0,,,,,
2013-01-05,a,2.39789527279837,train,,5,5,2013,1,0,0,,,,,
2013-01-06,a,2.56494935746154,train,,6,6,2013,1,0,0,,,,,
2013-01-07,a,2.39789527279837,train,,7,7,2013,2,0,0,,,,,
2013-01-08,a,2.30258509299405,train,,8,8,2013,2,0,0,,,,,
2013-01-09,a,2.56494935746154,train,,9,9,2013,2,0,0,,,,,
2013-01-10,a,2.30258509299405,train,,10,10,2013,2,0,0,,,,,
2013-01-11,a,2.30258509299405,train,,11,11,2013,2,0,0,,,,,
2013-01-12,a,2.07944154167984,train,,12,12,2013,2,0,0,,,,,
2013-01-13,a,2.39789527279837,train,,13,13,2013,2,0,0,,,,,
2013-01-14,a,2.56494935746154,train,,14,14,2013,3,0,0,,,,,
2013-01-15,a,1.79175946922806,train,,15,15,2013,3,0,0,,,,,
2013-01-16,a,2.07944154167984,train,,16,16,2013,3,0,0,,,,,
2013-01-17,a,2.83321334405622,train,,17,17,2013,3,0,0,,,,,
2013-01-18,a,2.07944154167984,train,,18,18,2013,3,0,0,,,,,
2013-01-19,1,2.94443897916644,train,,19,19,2013,3,0,0,,,,,
2013-01-20,1,2.77258872223978,train,,20,20,2013,3,0,0,,,,,
2013-01-21,1,2.19722457733622,train,,21,21,2013,4,0,0,,,,,
2013-01-22,1,2.07944154167984,train,,22,22,2013,4,0,0,,,,,
2013-01-23,1,2.30258509299405,train,,23,23,2013,4,0,0,,,,,
2013-01-24,1,2.19722457733622,train,,24,24,2013,4,0,0,,,,,
2013-01-25,1,2.70805020110221,train,,25,25,2013,4,0,0,,,,,
2013-01-26,1,2.56494935746154,train,,26,26,2013,4,0,0,,,,,
2013-01-27,1,2.56494935746154,train,,27,27,2013,4,0,0,,,,,
2013-01-28,1,2.484906649788,train,,28,28,2013,5,0,0,,,,,
2013-01-29,1,1.94591014905531,train,,29,29,2013,5,0,0,,,,,
2013-01-30,1,2.30258509299405,train,,30,30,2013,5,0,0,,,,,
2013-01-31,1,2.63905732961526,train,,31,31,2013,5,0,1,,,,,
2013-02-01,1,2.484906649788,train,,1,32,2013,5,1,0,,,,,
2013-02-02,1,3.09104245335832,train,,2,33,2013,5,0,0,,,,,
2013-02-03,1,2.77258872223978,train,,3,34,2013,5,0,0,,,,,
2013-02-04,1,2.70805020110221,train,,4,35,2013,6,0,0,,,,,
2013-02-05,1,2.30258509299405,train,,5,36,2013,6,0,0,,,,,
2013-02-06,1,2.39789527279837,train,,6,37,2013,6,0,0,,,,,
2013-02-07,1,2.63905732961526,train,,7,38,2013,6,0,0,,,,,
2013-02-08,1,2.484906649788,train,,8,39,2013,6,0,0,,,,,
2013-02-09,1,2.70805020110221,train,,9,40,2013,6,0,0,,,,,
2013-02-10,1,2.484906649788,train,,10,41,2013,6,0,0,,,,,
2013-02-11,1,2.83321334405622,train,,11,42,2013,7,0,0,,,,,
2013-02-12,1,2.484906649788,train,,12,43,2013,7,0,0,,,,,
2013-02-13,1,2.70805020110221,train,,13,44,2013,7,0,0,,,,,
2013-02-14,1,2.39789527279837,train,,14,45,2013,7,0,0,,,,,
2013-02-15,1,2.484906649788,train,,15,46,2013,7,0,0,,,,,
2013-02-16,1,2.07944154167984,train,,16,47,2013,7,0,0,,,,,
2013-02-17,1,2.484906649788,train,,17,48,2013,7,0,0,,,,,
2013-02-18,1,2.39789527279837,train,,18,49,2013,8,0,0,,,,,
2013-02-19,1,2.39789527279837,train,,19,50,2013,8,0,0,,,,,
2013-02-20,1,2.07944154167984,train,,20,51,2013,8,0,0,,,,,
2013-02-21,1,2.63905732961526,train,,21,52,2013,8,0,0,,,,,
2013-02-22,1,2.56494935746154,train,,22,53,2013,8,0,0,,,,,
2013-02-23,1,2.77258872223978,train,,23,54,2013,8,0,0,,,,,
2013-02-24,1,2.484906649788,train,,24,55,2013,8,0,0,,,,,
2013-02-25,1,2.07944154167984,train,,25,56,2013,9,0,0,,,,,
2013-02-26,1,2.30258509299405,train,,26,57,2013,9,0,0,,,,,
2013-02-27,1,2.30258509299405,train,,27,58,2013,9,0,0,,,,,
2013-02-28,1,2.39789527279837,train,,28,59,2013,9,0,1,,,,,
2013-03-01,1,2.77258872223978,train,,1,60,2013,9,1,0,,,,,
2013-03-02,1,2.63905732961526,train,,2,61,2013,9,0,0,,,,,
2013-03-03,1,3.04452243772342,train,,3,62,2013,9,0,0,,,,,
2013-03-04,1,2.70805020110221,train,,4,63,2013,10,0,0,,,,,
2013-03-05,1,2.63905732961526,train,,5,64,2013,10,0,0,,,,,
2013-03-06,1,2.89037175789616,train,,6,65,2013,10,0,0,,,,,
2013-03-07,1,2.484906649788,train,,7,66,2013,10,0,0,,,,,
2013-03-08,1,2.77258872223978,train,,8,67,2013,10,0,0,,,,,
2013-03-09,1,2.83321334405622,train,,9,68,2013,10,0,0,,,,,
2013-03-10,1,2.484906649788,train,,10,69,2013,10,0,0,,,,,
2013-03-11,1,2.94443897916644,train,,11,70,2013,11,0,0,,,,,
2013-03-12,1,2.70805020110221,train,,12,71,2013,11,0,0,,,,,
2013-03-13,1,2.63905732961526,train,,13,72,2013,11,0,0,,,,,
2013-03-14,1,2.39789527279837,train,,14,73,2013,11,0,0,,,,,
2013-03-15,1,2.70805020110221,train,,15,74,2013,11,0,0,,,,,
2013-03-16,1,2.39789527279837,train,,16,75,2013,11,0,0,,,,,
2013-03-17,1,3.13549421592915,train,,17,76,2013,11,0,0,,,,,
2013-03-18,1,2.484906649788,train,,18,77,2013,12,0,0,,,,,
2013-03-19,1,2.99573227355399,train,,19,78,2013,12,0,0,,,,,
2013-03-20,1,2.70805020110221,train,,20,79,2013,12,0,0,,,,,
2013-03-21,1,2.89037175789616,train,,21,80,2013,12,0,0,,,,,
2013-03-22,1,3.09104245335832,train,,22,81,2013,12,0,0,,,,,
2013-03-23,1,3.09104245335832,train,,23,82,2013,12,0,0,,,,,
2013-03-24,1,2.99573227355399,train,,24,83,2013,12,0,0,,,,,
2013-03-25,1,2.63905732961526,train,,25,84,2013,13,0,0,,,,,
2013-03-26,1,2.83321334405622,train,,26,85,2013,13,0,0,,,,,
2013-03-27,1,2.484906649788,train,,27,86,2013,13,0,0,,,,,
2013-03-28,1,2.63905732961526,train,,28,87,2013,13,0,0,,,,,
2013-03-29,1,2.89037175789616,train,,29,88,2013,13,0,0,,,,,
2013-03-30,1,2.99573227355399,train,,30,89,2013,13,0,0,,,,,
2013-03-31,1,3.04452243772342,train,,31,90,2013,13,0,1,,,,,
2013-04-01,1,2.484906649788,train,,1,91,2013,14,1,0,,,,,
2013-04-02,1,2.99573227355399,train,,2,92,2013,14,0,0,,,,,
2013-04-03,1,3.2188758248682,train,,3,93,2013,14,0,0,3.60386956966185,,,,
2013-04-04,1,2.94443897916644,train,,4,94,2013,14,0,0,3.81325866886588,,,,
2013-04-05,1,2.99573227355399,train,,5,95,2013,14,0,0,3.88063364779335,,,,
2013-04-06,1,3.17805383034795,train,,6,96,2013,14,0,0,4.65758568297933,,,,
2013-04-07,1,2.89037175789616,train,,7,97,2013,14,0,0,0.381867297631723,,,,
2013-04-08,1,2.99573227355399,train,,8,98,2013,15,0,0,1.55704129743308,,,,
2013-04-09,1,2.63905732961526,train,,9,99,2013,15,0,0,1.46276186790124,,,,
2013-04-10,1,2.99573227355399,train,,10,100,2013,15,0,0,3.49009375310506,1.66577879535532,,,
2013-04-11,1,2.83321334405622,train,,11,101,2013,15,0,0,-0.714931830553791,3.74924087587655,,,
2013-04-12,1,2.94443897916644,train,,12,102,2013,15,0,0,1.79906411263091,3.60889777720198,,,
2013-04-13,1,2.89037175789616,train,,13,103,2013,15,0,0,3.64135107768045,6.0669654921974,,,
2013-04-14,1,3.29583686600433,train,,14,104,2013,15,0,0,2.50387225015649,2.16809903930139,,,
2013-04-15,1,2.70805020110221,train,,15,105,2013,16,0,0,1.37654593911795,1.98188354414526,,,
2013-04-16,1,2.30258509299405,train,,16,106,2013,16,0,0,4.21913055860543,4.81863954805642,,,
2013-04-17,1,2.89037175789616,train,,17,107,2013,16,0,0,3.65162173517813,4.08970413349845,0.360616792064239,,
2013-04-18,1,3.09104245335832,train,,18,108,2013,16,0,0,4.49925936025459,2.64718505390499,3.42859853948102,,
2013-04-19,1,3.13549421592915,train,,19,109,2013,16,0,0,1.35419326254005,5.5151777309991,3.42604046498468,,
2013-04-20,1,3.13549421592915,train,,20,110,2013,16,0,0,4.16390747002639,4.9393681537578,4.09697865923917,,
2013-04-21,1,3.04452243772342,train,,21,111,2013,16,0,0,4.37395061848865,2.54150673476172,2.40004901852922,,
2013-04-22,1,2.63905732961526,train,,22,112,2013,17,0,0,2.12176608057708,0.714400579388189,4.46033776046586,,
2013-04-23,1,2.484906649788,train,,23,113,2013,17,0,0,2.77751672683029,0.777238445796406,2.24221614061189,,
2013-04-24,1,2.63905732961526,train,,24,114,2013,17,0,0,4.89174698263957,0.70569292487692,4.09902818160794,1.96302034222889,
2013-04-25,1,2.70805020110221,train,,25,115,2013,17,0,0,6.07961009575887,3.23793723332472,0.709118184405393,2.13455462927905,
2013-04-26,1,3.04452243772342,train,,26,116,2013,17,0,0,-1.12663281885526,4.99506548434765,2.21197728340629,0.890565015527319,
2013-04-27,1,3.13549421592915,train,,27,117,2013,17,0,0,5.96544116151467,0.080440170457133,1.58374667844764,1.43467914176479,
2013-04-28,1,2.99573227355399,train,,28,118,2013,17,0,0,0.321740802908184,2.36232264981772,4.22384059730715,5.00523507741061,
2013-04-29,1,2.484906649788,train,,29,119,2013,18,0,0,1.77350728233497,3.4430026446485,2.41378295876529,1.52592323177427,
2013-04-30,1,2.77258872223978,train,,30,120,2013,18,0,1,1.84354175264338,4.40846930827323,1.51692791354147,4.42419747443548,
2013-05-01,1,2.83321334405622,train,,1,121,2013,18,1,0,4.20260797375856,5.38511488124491,0.577157657446907,-0.280384444418034,0.850256916161439
2013-05-02,1,3.17805383034795,train,,2,122,2013,18,0,0,0.570082485113575,5.63499804172607,1.08676947238045,2.46874890949687,4.42319853518038
2013-05-03,1,3.13549421592915,train,,3,123,2013,18,0,0,0.556472079221224,3.25449079222463,3.50565620958457,2.46739449726498,2.47516265078919
2013-05-04,1,3.04452243772342,train,,4,124,2013,18,0,0,0.889570976154097,2.94535074988749,4.13413251161081,3.43157748811311,2.38353748731927
2013-05-05,1,2.70805020110221,train,,5,125,2013,18,0,0,4.50092275737478,2.21122879249997,0.430357518313298,2.10422160901395,3.0833932838888
2013-05-06,1,2.70805020110221,train,,6,126,2013,19,0,0,3.78850309441065,3.33414199105281,1.94707751426286,0.672533432519379,4.68354204685248
2013-05-07,1,2.77258872223978,train,,7,127,2013,19,0,0,1.35998184714253,-3.79463862440602,1.44598819657366,1.63935297321069,3.28510985943193
2013-05-08,1,2.70805020110221,train,,8,128,2013,19,0,0,3.88894761337129,-0.214518351313564,6.15553835624238,0.170894894435607,1.04802883763655
2013-05-09,1,2.484906649788,train,,9,129,2013,19,0,0,4.31055922685905,2.39700750419585,0.643648473570673,5.82495211643498,2.33841298323264
2013-05-10,1,2.83321334405622,train,,10,130,2013,19,0,0,6.35370403545962,1.74715843549806,5.44038944252385,2.17298568513921,2.78924411224326
2013-05-11,1,2.99573227355399,train,,11,131,2013,19,0,0,0.428886259309845,0.158040117207796,1.47368582058209,4.9660054305346,1.71086482939937
2013-05-12,1,2.63905732961526,train,,12,132,2013,19,0,0,0.733608581193063,5.37786882164594,5.21444810397119,2.30671657972754,2.01462752291694
2013-05-13,1,2.30258509299405,train,,13,133,2013,20,0,0,2.55142641188733,4.20133832180861,2.00477025921125,1.8235920398894,4.98855858609534
2013-05-14,1,2.63905732961526,train,,14,134,2013,20,0,0,3.17814958492078,1.68146140213848,0.625427577282745,3.76015007374498,2.33261974829577
2013-05-15,1,2.83321334405622,train,,15,135,2013,20,0,0,0.335098896898827,3.81919965030533,3.97427674579872,1.30752492522824,-0.178588651608311
2013-05-16,1,2.77258872223978,train,,16,136,2013,20,0,0,3.16173037464107,1.05072655485245,-0.372679763633115,2.80754962568561,3.50003851038257
2013-05-17,1,2.83321334405622,train,,17,137,2013,20,0,0,4.19367106597164,2.2682502651511,1.96609143695982,5.34908887963849,-0.456285325568607
2013-05-18,1,3.04452243772342,train,,18,138,2013,20,0,0,-0.964128463705899,4.49080194188109,3.41156559112866,1.1094600315454,4.6548322238935
2013-05-19,1,2.99573227355399,train,,19,139,2013,20,0,0,3.85453112417456,3.6607581289533,2.55998374021921,1.17723563075713,3.15032933429787
2013-05-20,1,2.70805020110221,train,,20,140,2013,21,0,0,3.93638002461109,1.88847189599755,0.185999285086275,1.53495983252643,2.78593504231446
2013-05-21,1,3.2188758248682,train,,21,141,2013,21,0,0,4.83430033543954,3.28492826990144,1.32712248139753,1.89306728855235,4.04349588845654
2013-05-22,1,3.17805383034795,train,,22,142,2013,21,0,0,3.58533439184834,9.14358336166494,1.43097919322605,3.94529414730865,2.57950762549217
2013-05-23,1,2.70805020110221,train,,23,143,2013,21,0,0,3.65911202638915,1.37489964999813,2.9610820022334,0.171688675991999,-0.188673493949512
2013-05-24,1,3.2188758248682,train,,24,144,2013,21,0,0,4.99126083173408,2.88472512731866,0.432659850864249,1.91597408279078,5.1079746503167
2013-05-25,1,3.25809653802148,train,,25,145,2013,21,0,0,1.41345501751516,-1.026692697723,1.94720967534771,3.08278998184746,0.725289887827391
2013-05-26,1,3.3322045101752,train,,26,146,2013,21,0,0,1.44508914495501,1.66009004295705,1.60446302676759,5.12613545971501,4.75946393169717
2013-05-27,1,2.07944154167984,train,,27,147,2013,22,0,0,2.55026275429605,2.18200657903238,3.39621821020004,6.10930578938307,1.83691127860024
2013-05-28,1,2.56494935746154,train,,28,148,2013,22,0,0,3.52295056193117,2.87460077803626,0.651815009550174,3.4788297900381,4.01684232171192
2013-05-29,1,2.39789527279837,train,,29,149,2013,22,0,0,3.59281785215515,2.33268434160522,2.94973154938618,1.26945590261901,1.79172962856489
2013-05-30,1,2.99573227355399,train,,30,150,2013,22,0,0,0.270075498276097,2.68503893533253,2.24641157086725,4.08917948658591,3.09162973845233
2013-05-31,1,3.3322045101752,train,,31,151,2013,22,0,1,1.84738426962651,3.2415358078339,1.18932797197769,2.65903495015818,3.4977567091521
2013-06-01,1,3.29583686600433,train,,1,152,2013,22,1,0,1.31493735358914,2.05544738280318,1.97455909829823,0.786544485732948,2.54151448783881
2013-06-02,1,3.13549421592915,train,,2,153,2013,22,0,0,4.1155813875535,3.49141356904573,1.03287406203204,-0.654137863100897,4.481175254958
2013-06-03,1,2.56494935746154,train,,3,154,2013,23,0,0,0.639896243008664,4.02599949875198,4.62731169956363,3.18302833749481,2.25355599244718
2013-06-04,1,2.77258872223978,train,,4,155,2013,23,0,0,3.29001223388997,4.3889581128652,4.3403699298512,1.21683678453067,5.16154179659097
2013-06-05,1,3.2188758248682,train,,5,156,2013,23,0,0,5.12699137974838,2.90073218030418,0.337053442484869,3.43207255609494,3.72451122982377
2013-06-06,1,2.30258509299405,train,,6,157,2013,23,0,0,2.9135107430799,2.10435686360126,4.39664064259176,3.22012894342499,1.33872570998881
2013-06-07,1,3.09104245335832,train,,7,158,2013,23,0,0,6.29473133500028,4.33036194256647,2.66137914282631,4.23842124618985,0.134724553696891
2013-06-08,1,3.04452243772342,train,,8,159,2013,23,0,0,4.2639904625691,2.22173669002934,2.91886863820472,1.73888146845497,4.54715691737443
2013-06-09,1,3.66356164612965,train,,9,160,2013,23,0,0,3.95915954705063,4.22579553538921,2.03755974469415,2.52243650991553,-0.337590783934216
2013-06-10,1,3.04452243772342,train,,10,161,2013,24,0,0,5.29256015100162,4.14485798321995,1.15357642437772,4.89470589836063,2.78004439682903
2013-06-11,1,2.94443897916644,train,,11,162,2013,24,0,0,3.13844936423581,1.08545098657014,1.61842544177339,2.18038710499811,4.4221372672074
2013-06-12,1,3.13549421592915,train,,12,163,2013,24,0,0,4.50667756754226,1.73891580609005,0.964644112380738,2.01454586572845,1.00695399544722
2013-06-13,1,3.09104245335832,train,,13,164,2013,24,0,0,1.26419893011341,2.62140542047094,1.53065703389218,0.892311205758387,-3.01414713559803
2013-06-14,1,3.13549421592915,train,,14,165,2013,24,0,0,4.92338821895242,2.93812732636643,1.04613869430426,3.29235284213392,-0.317070962778395
2013-06-15,1,3.29583686600433,train,,15,166,2013,24,0,0,3.45693826029273,4.37444783092215,3.25305611203601,3.09277678390092,3.12325809166482
2013-06-16,1,3.17805383034795,train,,16,167,2013,24,0,0,4.35091289173129,1.93912384071003,3.26508170311076,1.10876199443178,2.1729248226572
2013-06-17,1,2.63905732961526,train,,17,168,2013,25,0,0,4.02902131832763,3.07653008198881,3.8596112549286,0.259528838214694,3.55524089922602
2013-06-18,1,3.09104245335832,train,,18,169,2013,25,0,0,4.14130213112216,2.44898787828065,2.8243356593322,0.436441516850778,3.96682843405356
2013-06-19,1,2.94443897916644,train,,19,170,2013,25,0,0,1.9428273805613,2.98567200056286,3.49162939715534,1.98938154855197,1.64219913897702
2013-06-20,1,3.2188758248682,train,,20,171,2013,25,0,0,2.59315899442442,-0.864674151811775,1.0345389876681,2.48569333350686,2.38194783577558
2013-06-21,1,2.99573227355399,train,,21,172,2013,25,0,0,1.10226655587488,4.62214750490826,2.13093293518273,0.660168957969399,1.44708581271418
2013-06-22,1,3.17805383034795,train,,22,173,2013,25,0,0,0.340373537732285,1.78523258982346,2.19816728344566,3.2741901734611,1.6405764373992
2013-06-23,1,3.2188758248682,train,,23,174,2013,25,0,0,2.5441047960795,1.74804915751705,1.44839951830965,5.85753389079044,1.25071203875456
2013-06-24,1,2.89037175789616,train,,24,175,2013,26,0,0,2.15969380232331,3.1488709032937,0.413477702107177,-0.325639357507423,1.19089158792774
2013-06-25,1,3.09104245335832,train,,25,176,2013,26,0,0,3.14901332757934,3.27275908924028,1.91046768173694,2.55983237555356,3.24631097977332
2013-06-26,1,3.09104245335832,train,,26,177,2013,26,0,0,0.510847406521155,2.09547947727186,2.42565070269815,1.85763311536426,-0.523674684211248
2013-06-27,1,3.29583686600433,train,,27,178,2013,26,0,0,2.20337516209713,2.55231941349189,0.729682941107664,3.62053723821882,1.47414968170138
2013-06-28,1,2.89037175789616,train,,28,179,2013,26,0,0,3.0539428614598,3.97170638652273,4.36434368371631,2.46518872942677,2.05775236346449
2013-06-29,1,3.04452243772342,train,,29,180,2013,26,0,0,1.36770521473069,4.2298038872863,0.466146570513267,3.59086995958485,0.835786589044009
2013-06-30,1,3.2188758248682,train,,30,181,2013,26,0,1,1.91341564169195,0.139964760894611,5.56809658332508,3.74482989064239,4.02294267566054
2013-07-01,1,3.17805383034795,train,,1,182,2013,27,1,0,3.82811389760369,1.86868915713216,0.775532659814745,0.441163389164348,5.66233826838884
2013-07-02,1,2.89037175789616,train,,2,183,2013,27,0,0,1.16215583971653,1.10541404385696,0.476221564803024,0.575575235972145,4.52861429223338
2013-07-03,1,2.56494935746154,train,,3,184,2013,27,0,0,2.34393480686934,5.61877540145185,2.85233540477038,1.1578905180648,2.87943678402144
2013-07-04,1,3.2188758248682,train,,4,185,2013,27,0,0,0.54360141591722,1.91483665953032,6.22737949709741,5.45136572701705,2.61433866947291
2013-07-05,1,2.89037175789616,train,,5,186,2013,27,0,0,3.37701558291545,4.05423434823302,3.0550636956279,4.84282210599714,3.48942318146486
2013-07-06,1,2.83321334405622,train,,6,187,2013,27,0,0,3.18260509857371,2.58988050652151,3.21297559466037,2.60675535887485,2.84500331067585
2013-07-07,1,3.55534806148941,train,,7,188,2013,27,0,0,2.51755914814803,3.64914317880336,4.05721974503845,0.540833988281264,-0.162461488105631
2013-07-08,1,3.04452243772342,train,,8,189,2013,28,0,0,3.76512124501551,3.01552328674867,1.89059316490191,4.57261135885041,4.62206157059173
2013-07-09,1,3.17805383034795,train,,9,190,2013,28,0,0,4.70699223468376,6.0706011011047,3.17003573090788,2.64363073547199,3.61169930778175
2013-07-10,1,2.70805020110221,train,,10,191,2013,28,0,0,4.32716233679155,2.35797561477165,1.90903840147059,4.22337000967517,4.92445921002213
2013-07-11,1,3.25809653802148,train,,11,192,2013,28,0,0,3.15106859071889,3.78181116749147,2.26736397868345,1.5490772759983,2.97572663895701
2013-07-12,1,3.40119738166216,train,,12,193,2013,28,0,0,4.54581737735122,4.08393053234405,3.46189752823406,1.70790702186854,2.1593167369797
2013-07-13,1,3.13549421592915,train,,13,194,2013,28,0,0,2.87248698950495,3.34111398283679,1.90744003382408,3.0373524417455,3.47816196708136
2013-07-14,1,3.40119738166216,train,,14,195,2013,28,0,0,3.03819994001506,1.59861844408608,4.24925241387412,1.23816415276239,3.91344980248282
2013-07-15,1,2.94443897916644,train,,15,196,2013,29,0,0,2.53989348563206,4.63030929280786,3.02715663662554,2.21660302917599,2.28991557132083
2013-07-16,1,2.56494935746154,train,,16,197,2013,29,0,0,1.98998303042917,1.50843431306144,3.04963091441711,0.03197620680235,3.87975737763918
2013-07-17,1,2.83321334405622,train,,17,198,2013,29,0,0,3.56021797176082,3.2774553424718,2.96631657808662,1.65484505878374,3.07743716481612
2013-07-18,1,3.09104245335832,train,,18,199,2013,29,0,0,4.14831222201307,2.41260102579749,-0.838176244509837,1.42154013983833,2.81673556583437
2013-07-19,1,3.25809653802148,train,,19,200,2013,29,0,0,4.46404261793275,6.75839496207633,3.24607927098518,3.26484531443177,3.08499425732648
